[2016-04-25T10:11:04+03:00] INFO: Forking chef instance to converge...
[2016-04-25T10:11:04+03:00] INFO: *** Chef 12.9.38 ***
[2016-04-25T10:11:04+03:00] INFO: Platform: x86_64-linux
[2016-04-25T10:11:04+03:00] INFO: Chef-client pid: 3703
[2016-04-25T10:11:08+03:00] INFO: Run List is [recipe[exit_task]]
[2016-04-25T10:11:08+03:00] INFO: Run List expands to [exit_task]
[2016-04-25T10:11:08+03:00] INFO: Starting Chef Run for ChefET
[2016-04-25T10:11:08+03:00] INFO: Running start handlers
[2016-04-25T10:11:08+03:00] INFO: Start handlers complete.
[2016-04-25T10:11:10+03:00] INFO: Loading cookbooks [exit_task@1.0.0, java@1.39.0, apt@3.0.0]
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/recipes/java_and_preinstall.rb in the cache.
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/jenkins-user in the cache.
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/recipes/jenkins.rb in the cache.
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/recipes/nginx.rb in the cache.
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/attributes/default.rb in the cache.
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/recipes/default.rb in the cache.
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/recipes/maven.rb in the cache.
[2016-04-25T10:11:11+03:00] INFO: Storing updated cookbooks/exit_task/recipes/tomcat.rb in the cache.
[2016-04-25T10:11:12+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/translation.jpi in the cache.
[2016-04-25T10:11:12+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-slaves/META-INF/maven/org.jenkins-ci.plugins/ssh-slaves/pom.properties in the cache.
[2016-04-25T10:11:12+03:00] INFO: Storing updated cookbooks/exit_task/files/default/jenkins/plugins/ssh-slaves/META-INF/maven/org.jenkins-ci.plugins/ssh-slaves/pom.xml in the cache.
